1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
1534	PREFP VERB NFS <eps> PPOBJMS VERB ADV DET NFS ADJFS	vous avez raison <eps> y a pas d' interdiction absolue	<eps> avez raison il y a pas d' interdiction absolue	_
1535	COCO ADV DET NMS PREP PDEMFS NFS PINDMS VERB ADV ADV PREP PROPN COCO ADV PREP PREP DETMS <eps> <eps> <eps> DET NMS PREP PDEMFS NFS ADJFS VERB PREP VERB	mais justement l' objet de cette plainte on focalise pas spécialement sur cosmos ou même su(r) sur amésys <eps> <eps> <eps> l' objet de cette plainte c' est de dire	<eps> justement l' objet de cette plainte on focalise pas spécialement sur cosmos ou même si sur un mais il est l' objet de cette plainte c' est de dire	_
1536	PPER3MS ADV VERB ADV AUX VPPMS PREP DET NFP ADJFP PREP VERB DINTMS NMS COSUB PDEMMS NMS VERB VERB PREP VERB COCO PREP VERB PRON PREL AUX ADV DINTFS NFS DETFS NFS	il ne doit pas être permis à des sociétés multinationales de faire du business quand ce business peut servir à réprimer ou à torturer ce qui est encore une fois la finalité	il ne doit pas être permis à des sociétés multinationales de faire du business quand ce business peut servir à réprimer ou à torturer <eps> qui <eps> encore une fois la finalité	_
1537	PREP VERB ADV NFS PREP DET NFS ADJFS PREP DET NFS PREP NMS DET NMP PREP DET NMS COSUB PREFP VERB DET NMS	en faisant donc abstraction de toute considération éthique de toute considération au regard des droits de l' homme si vous prenez l' armement	<eps> faisant donc abstraction de toute considération éthique de toute considération regarder droit là <eps> <eps> <eps> <eps> si vous prenez l' armement	_
1538	PPER3MS PPOBJMS VERB DET NFP ADV PREL VERB PREP VERB DINTMS ADJMS NMS PREP NFP NOUN PREP NFS PREP NOUN PREL AUX VPPMP ADV PREP DET NMP ADV ADJMP	il y a des législations là qui interdisent d' exporter un certain nombre d' armes vis à vis de pays qui sont considérés justement comme des pays extrêmement répressifs	il y a des législations la qui interdisent d' exporter un certain nombre d' armes vis à vis de pays qui sont considérés justement comme des pays extrêmement répressif	_
1539	DETFS PROPN ADV AUX ADV VPPMS PREP NFS PREP DET NMP	la france n' a jamais vendu d' arme à des dictateurs	la france n' a jamais vendu d' armes à des dictateurs	_
1540	PDEMMS AUX ADV PDEMMS AUX ADV PRON PREL PPER1S VERB ADV ADV	c' est pas c' est pas ce que je dirais bien évidemment	c' est pas parce <eps> <eps> <eps> que je dirais bien évidemment	_
1541	COCO PINDMS VERB PPOBJMS VERB COCO PDEMMS PREF VERB PREP NMS PREP PROPN	mais on peut le faire et ça se fait par exemple l' iran	<eps> on peut le ferry <eps> ça se fait par exemple l' iran	_
1542	COSUB PINDMS VERB DET PROPN PPER3MS PPOBJMS VERB ADV ADV DET NFP ADV ADV ADV VPPFP PREP NFS PREP DINTMS ADJMS NMS ADV PRON PDEMMS <eps> AUX DETMS NMS PREP DET ADJMP NMP ADV PRON PREL PREFP VERB PDEMMS AUX ADV NOUN PREP NFS PREP DET NMP ADV PPER3MS PPOBJMS VERB DINTFS NFS PREP NMS PREP PROPN PDEMMS VERB ADV VERB COSUB PINDMS VERB PREP VERB PDEMMS NMS PREP ADJMP DET NMP	si on prend l' iran il y a quand même des interdictions alors là vraiment avérées en place depuis un certain temps puis ce ça <eps> été le cas vers d' autres pays donc ce que nous voudrions c' est que vis à vis de ces pays là il y ait une sorte de code de déon() ça veut pas dire qu' on interdit de fournir ce matériel à tous les pays	<eps> on prend l' iran il y a quand même des interdictions alors là vraiment avérée en place depuis un certain temps puisque <eps> ça a été le cas vers d' autres pays donc ce que nous voudrions c' est que vis à vis de ces pays là il y a une sorte de code de deon ça veut pas dire qu' on interdit de fournir ce matériel à tous les pays	_
1543	COCO COSUB PPER3MS PPOBJMS VERB DINTFS NFS PREP VERB PDEMMS NMS VERB ADJ COSUB PPER3MS AUX VPPMS PREP PDEMFS NFS PREP DET NMP PREL AUX DET NMP ADJMP COCO DET NMP ADJMP <eps>	mais qu' il y ait une interdiction d' exporter ce savoir faire dangereux quand il est utilisé de cette manière pour des pays qui sont les pays autoritaires et les pays sanguinaires <eps>	qui est <eps> <eps> <eps> une interdiction d' exporter ce savoir-faire <eps> dangereux quand il est utilisé <eps> cette manière pour des pays qui sont les pays autoritaires et les pays sans neige	_
1544	PPER1S VERB ADV PREFP VERB ADV ADV DINTMS NMS ADJMS PREP DET NFP ADJFP COCO ADJFP	je comprends bien vous demandez effectivement finalement un code éthique à ces entreprises nationales ou internationales	je comprends bien vous demandez effectivement finalement un code éthique à ses entreprises nationales ou internationales	_
1545	DINTFS NFS ADJFS	une règlementation même	passion <eps> même	_
1546	INTJ COCO VERB PREP CHIF CHIF CHIF PROPN XFAMIL XFAMIL AUX ADJMS PPER3MS AUX ADV VPPMS PREP NMS DINTMS CHIF NMS ADJMS AUX PREP <eps> CHIF NMP CHIF <eps> ADV PDEMMS AUX DINTMS NMS ADV PREP NMS ADJMS COCO COSUB PINDMS VERB ADV PREP DET NFS DETMS NMS ADJMS AUX ADV DINTMS NMS NFS	oui mais a() avant deux mille onze bachar al assad était fréquentable il était même invité au défilé du quatorze juillet c' était en <eps> deux mille huit <eps> donc c' était un homme tout à fait fréquentable parce qu' on pensait qu' à l' époque le président syrien était même un personnage clé	<eps> mais à <eps> deux milles onze bachar el assad étaient fréquentes habilités <eps> même invité au défilé du quatorze juillet c' était en en deux milles huit oui donc c' était un homme tout à fait fréquentable parce qu' on pense qu' à l' époque le président syrien était même un personnage clé	_
1547	PREP DETFS NFS PREP NFS PREP PREP DINTMS NMS DETMS PROPN PREP DET ADJMS PROPN ADV ADV PREFP VERB PREP DET NFP ADJFP PREP AUX ADV ADJFP COSUB DET NMP ADJMP PREL VERB PREP DETFS NFS	de la situation sur place avec d' un côté le liban de l' autre israël donc finalement vous demandez à des entreprises françaises d' être plus vertueuses que les responsables politiques qui font de la realpolitik	<eps> la situation sur place avec d' un côté le liban de l' autre israël donc finalement vous demander à des entreprises françaises d' être plus vertueuses que les responsables politiques qui font de la realpolitik	_
1548	INTJ COCO PPER1S PPER1S VERB ADV ADV AUX PDEMMS COSUB	oui mais je je crois ne qu' est ce que	oui mais je je crois une qu' est ce que	_
1549	PREP NMS PINDMS PREFP AUX VPPMS ADV PDEMMS NMS PREP PRON <eps> PREL PREFP AUX VPPMS PINDMS AUX VPPMS DETMS NMS PREP NMS ADV PINDMS VERB DETMS NMS ADJMS PREP DETMS NMS PROPN PREP CHIF CHIF CHIF NMP AUX ADJMS <eps> <eps> <eps>	d' accord on nous a sorti déjà cet argument avec amésys <eps> qui nous a dit on a passé le contrat au moment où on déroulait le tapis rouge pour le colonel kadhafi en deux mille sept c' est vrai <eps> <eps> <eps>	<eps> accord on nous a sorti déjà cet argument avec alesi ce qui nous a dit on a passé le contrat au moment oui roulait <eps> le tapis rouge pour le colonel kadhafi en deux milles sept c' est sa jument recevable cévennes	_
1550	PREP DET NMP ADV ADV COSUB ADV AUX PRON PREL VERB PDEMMS AUX DETFS NFS ADJFS ADJFS AUX DETFS NFS ADJFS PREP DINTFS NFS ADV PREP DINTMS NMS	à mes yeux non parce que qu' est ce qui compte c' est la qualification pénale c' est la responsabilité pénale d' une entreprise voire d' un individu	milieu <eps> <eps> non parce que qu' est ce qui compte c' est la qualification pénale c' est la responsabilité pénale d' une entreprise voire d' un individu	_
1551	COCO COSUB DINTFS NFS ADV DINTFS NFS	et quand une société encore une fois	et quand une société encore une fois	_
1552	PPOBJFS PPER1S VERB NFS PREP DETFS PREP DETFS NFS PREP PDEMMS NMS PREP ADV PPER1S PREFS VERB ADV PREP PRON PREL AUX VPPMS	moi je fais abstraction de la de la politique sur ce plan d' ailleurs je me félicite pas de ce qu' a fait	<eps> je fais abstraction de la de la politique sur ce plan d' ailleurs je me félicite pas de ce café <eps> <eps>	_
1553	VERB AUX NMS PROPN PREP VERB PROPN PREP DET NFS COCO PRON PREL PINDMS PRON PREL PINDMS VERB	peut être monsieur sarkozy en recevant kadhafi à l' époque mais ce qu' on ce qu' on dénonce	peut être monsieur sarkozy en recevant kadhafi à l' époque mais ce qu' on ce qu' on dénonce	_
1554	PDEMMS AUX DETMS NMS COSUB DET NFP ADV VERB PREF VERB NMP PREP NMP PREP NFS ADV COSUB PROPN XFAMIL PREP PROPN XFAMIL	c' est le fait que ces sociétés là vont se rendre complices d' actes de torture donc que monsieur sarkozy avec monsieur kadhafi	<eps> <eps> le fait que ces sociétés la vont se rendre complices d' actes de torture donc que monsieur sarkozy avec monsieur kadhafi	_
1555	VERB DETMS DETMS <eps> NMS ADJMS DETMS PPER3MS ADV VERB PDEMMS ADV PREP DET ADJFP NFP PROPN AUX DINTFS NFS	déroule le le <eps> tapis rouge le il re() reçoive celui ci dans les meilleures conditions c' est une chose	déroule le le le tapis rouge l' oreille elle reçoit celui-ci <eps> dans les meilleures conditions c' est une chose	_
1556	COCO PREP DETFS NFS PREP DINTFS NFS ADV PDEMMS VERB ADV ADV ADV ADV COSUB PDEMMS AUX DINTFS NFS VPPFS PREP DETFS NFS COCO DETFS NFS PREP ADV DETFS NFS PREP ADV DETFS NFS ADJFS COCO ADJFS AUX PDEMMS PREL VERB ADV AUX VPPMS COCO PREP ADV PREP ADV PPER1S VERB COCO <eps> PPOBJMS VERB DINTMS NMS <eps> <eps> <eps>	mais de la part d' une entreprise là ça va beaucoup plus loin parce que c' est une aide apportée pour la répression et la torture d' où la complicité d' où la qualification pénale et c' est cela qui doit vraiment être interdit et de même d' ailleurs je pense mais <eps> y a un changement <eps> <eps> <eps>	mais de la part d' une entreprise <eps> ça va beaucoup plus loin parce que c' est une aide apportée pour la répression et la torture d' où la complicité d' où la qualification pénale et c' est cela qui doit vraiment être interdit et de même d' ailleurs je pense que il y a un changement de deux ans	_
1557	PDEMMS PDEMMS VERB VERB PREP NMS ADV PDEMMS NMS PREP NMS ADV COSUB DETMS DETMS <eps> NMS DET NFP ADJFP AUX VPPMS ADV NOUN DETMS NMS PREP NFS VERB ADV PPER1S <eps> VERB ADV VERB VERB	ça ça doit servir d' exemple alors justement changement de discours parce que le le <eps> ministère des affaires étrangères a réagi (n) suite au dépôt de plainte voilà alors je <eps> vais simplement donner donner	et ça doit servir d' exemple alors justement je dis ça parce que le le le ministère des affaires étrangères a réagi un suite au dépôt chez maintenir voilà alors je je vais simplement donner donner	_
1558	DET NFS ADJFS AUX PDEMMS AUX DETMS NMS ADJMS DINTMS DINTMS NMS PROPN XFAMIL PREL VERB DET ADJFP NFP PREP PDEMFS NFS ADJFS PROPN VERB PREP NFS CHIF CHIF CHIF PREP COSUB PDEMMS ADV <eps> AUX VPPMS PREP DET NFS ADJFS	l' information c' est c' est le porte parole du du ministère bernard valero qui parle les dernières exportations de cette société française cosmos date de fin deux mille onze avant que cela ne <eps> soit interdit par l' union européenne	l' information c' est c' est le porte parole du du ministère bernard valéro qui parlent les dernières exportations de cette société française kosmos date de fin deux milles onze avant que ce à nous soit interdit par l' union européenne	_
1559	PREP DET NFS DET ADJFP NFP ADV <eps> ADJFS AUX VPPMS	à notre connaissance les dernières exportations donc <eps> c' est terminé	a notre connaissance des dernières exportations donc ça c' est terminé	_
1560	COCO DET NMP VERB PREP NMS CHIF CHIF CHIF PREP DETMS NMS PREP DETFS NFS ADJFS ADV ADV ADJFS AUX DINTFS NFS VPPFS VPPFS	et ces équipements tombent depuis janvier deux mille douze sous le coup de la réglementation européenne donc finalement c' est une affaire passée terminée	<eps> ces équipements tombe depuis janvier deux milles douze sous le coup de la réglementation européenne ont finalement c' est une affaire passée terminée	_
1561	ADV ADV AUX ADV DINTFS NFS VPPFS ADV COSUB PREP PREP PRON PREL PREFP VERB DETMS NMS AUX AUX VPPMS PREP NOUN CHIF CHIF CHIF	non c' est pas une affaire terminée parce que d' après ce que nous savons le matériel a été fourni en mars deux mille onze	<eps> c' est pas une affaire terminée parce que d' après ce que nous savons le matériel a été fourni en mars deux milles onze	_
1562	ADV ADV <eps> <eps> <eps> PINDMS VERB PPOBJMS VERB COCO ADV ADJMS COSUB PINDMS VERB PPOBJMS VERB ADV DINTFS NFS PRON PREL PINDMS VERB PDEMMS AUX DETFS NFS ADJFS AUX DET NFS	bien certes <eps> <eps> <eps> on pouvait le fournir mais peu importe qu' on puisse le fournir encore une fois ce qu' on reproche c' est la finalité c' est l' utilisation	bien certes s' est dit on pouvait <eps> fournir mais peu importe qu' on puisse <eps> fournir encore une fois ce qu' on reproche c' est la finalité c' est l' utilisation	_
1563	COCO DETMS NMS PREP PROPN PPOBJMS ADV COSUB PPER3MS AUX AUX VPPMS PREP NMS CHIF CHIF CHIF	or le dirigeant de cosmos lui même quand il a été interrogé en novembre deux mille onze	<eps> le dirigeant de cosmos lui-même <eps> quand il a été interrogé en novembre deux milles onze	_
1564	PREP DET NMP	par des journalistes	par des journalistes	_
1565	AUX VPPMS PREFP PREFP AUX VPPMP ADV COSUB PREFP VERB COSUB PREFP ADV VERB ADV VERB PREP VERB	a dit nous nous sommes retirés parce que nous considérions que nous ne pouvions plus considérer à commercer	<eps> dit nous nous sommes retirés parce que nous considérions que nous ne pouvions plus considéré à commercer	_
1566	COCO ADV ADV PPER3MS PPOBJMS AUX VPPMS PDEMMS NMS ADJMS AUX ADV ADV PPER3MS PPOBJMS AUX VPPMS DINTMS NMS COSUB DETMS NMS PPOBJMS ADV AUX VPPMS COSUB ADV AUX ADV ADJMS COCO PPER1S PPER1S VERB COSUB DETMS NMS VERB ADV	et bien s' il y a eu ce désengagement c' est qu' auparavant il y a eu un engagement que le dirigeant lui même a considéré comme n' étant pas respectable donc je je crois que le problème subsiste intégralement	<eps> bien s' il y a eu ce désengagement c' est qu' auparavant il y a eu un engagement que le dirigeant lui-même <eps> a considéré comme n' étant pas respectable dont je je crois que le problème subsiste intégralement	_
1567	INTJ PROPN XFAMIL PINDMS VERB PREP PREP PROPN PREP DINTMS NMS DET NMP DET PROPN <eps> DET NMP ADJMP ADJMS AUX DETFS NFS PREP NFS PREP PREP CHIF CHIF NFP PINDMS VERB PREF VERB PREP DINTMS NMS PREP DET NMS ADJMS COCO DET DET PROPN COCO DETFS	merci patrick baudouin on retourne à à londres dans un instant les jeux les jo <eps> les jeux olympiques c' est la cérémonie d' ouverture dans dans vingt quatre heures on va s' intéresser dans un instant à l' angle politique (n) les les jo et la	<eps> patrick baudouin on retourne à à londres dans un instant les <eps> les jeux légion les cinq lapid c' est la cérémonie d' ouverture dans dans vingt quatre heures on va s' intéresser dans un instant à l' angle politique un les légions <eps> et là	_
1568	ADJMS ADV COSUB PDEMMS AUX ADV DINTMS NMS ADJMS VERB DET NFP PREP PROPN DETMS NMS PREP DETFS NFS ADJFS DETFS NFS PREL VERB PREP PDEMMS NMS	politique parce que c' est aussi un enjeu politique regardez ces images de londres le parcours de la flamme olympique la flamme qui parcourt en ce moment	politique parce que c' est aussi un enjeu politique regardez ces images de londres le parcours de la flamme olympique la flamme qui parcourent en ce moment	_
1569	DET NFP PREP DETFS NFS ADJFS DETFS NFS PREL VERB PREP PROPN XFAMIL	les rues de la capitale londonienne la flamme qui arrive à trafalgar square	les rues de la capitale londonienne la flamme qui arrivent à trafalgar square	_
1570	ADV PREP VERB VERB DINTFS ADJFS NFS	avant d' aller faire une petite visite	avant d' aller faire une petite visite	_
1571	PREP NMS PROPN COCO PREP DETFS NFS PROPN <eps> COSUB DETFS NFS AUX VPPFS PREP PROPN XFAMIL PINDMS PPOBJMS AUX ADV PREP DET NFS PREP CHIF CHIF NFP CHIF DET NMP ADJMP DET PROPN PREP PROPN YPFOR	au prince william et à la princesse kate <eps> puisque la flamme sera montrée à buckingham palace on y sera tout à l' heure vers dix neuf heures trente les chiffres clés des jo avec fabrice theury	au prince william et à la princesse qui est puisque la flamme sera montrée à buckingham palace on y sera tout à l' heure vers dix neuf heures trente les chiffres clés d' aigion avec fabrice théorie	_
1572	CHIF CHIF CHIF CHIF CHIF CHIF CHIF NMP AUX DETMS NMS PREP NMP VPPMP PREP CHIF CHIF NFP ADJFP	dix mille quatre cent quatre vingt dix c' est le nombre d' athlètes inscrits dans vingt six disciplines olympiques	<eps> mille quatre cents quatre-vingt <eps> dix c' est le nombre d' athlètes inscrits dans vingt six disciplines olympiques	_
1573	PPER3MP PREF VERB DET NFP PREP CHIF NMP CHIF NFP PREP DINTMS NMS ADJMS PREP NMP	ils se disputeront des médailles dans trois cent deux épreuves devant un parterre impressionnant de spectateurs	<eps> se disputeront des médailles dont trois cents deux épreuves devant un parterre impressionnant de spectateurs	_
1574	CHIF NMP PREP NMP AUX PREP NMS AUX VPPMS COCO CHIF NMP PREP NMP AUX VPPMP PREP PROPN	onze millions de billets ont en effet été émis et deux millions de visiteurs sont attendus à londres	onze millions de billets ont en effet été émis <eps> deux millions de visiteurs sont attendus à londres	_
1575	PREP NMS PREP NFP CHIF CHIF NMP ADJMP AUX VPPMP DETMS NMS DETFS NFS ADJFS COCO ADV	en terme d' infrastructures trente quatre sites différents sont prévus le vélodrome la piscine olympique mais surtout	<eps> terme d' infrastructures trente quatre sites différents sont prévues le vélodrome la piscine olympique mais surtout	_
1576	DETMS ADJMS NMS DETMS NMS DETMS ADV ADJMS PREP DETFS NFS	le grand stade le bâtiment le plus emblématique de la compétition	<eps> grand stade le bâtiment le plus emblématique de la compétition	_
1577	PREP PPOBJMS VERB CHIF CHIF NMP AUX AUX ADJMP COCO PREP DET NMP PRON AUX CHIF CHIF CHIF NFP PREL AUX VPPFP ADV PREP VERB DET NMP	pour les construire quarante mille ouvriers ont été nécessaires mais durant les jo ce sont deux cents mille personnes qui sont mobilisées notamment pour accueillir les athlètes	<eps> les construire quarante milles ouvriers ont été nécessaires mais du religieux <eps> ce sont deux cents milles personnes qui sont mobilisés notamment pour accueillir les athlètes	_
1578	COCO VERB DETMS NMS ADJMS PREP NMS CHIF CHIF <eps> NMP PREP NMP AUX AUX VPPMP PREP DET NFS DET NMP	et sécuriser le parc olympique au total cent seize <eps> milliards d' euros ont été dépensés pour l' organisation des jeux	<eps> sécuriser le parc olympique au total onze virgule six milliards d' euros ont été dépensés pour l' organisation des jeux	_
1579	PDEMMS AUX CHIF NFP ADV COSUB DETMS NMS ADV VPPMS PREP CHIF CHIF CHIF	c' est quatre fois plus que le montant initialement prévu en deux mille cinq	<eps> <eps> quatre fois plus que le montant initialement prévue en deux milles cinq	_
1580	ADV ADJFS CHIF CHIF CHIF NMP AUX VERB PREP DETFS NFS DET NMP PREP DETMS NMS DET NMP ADJFS NFS DETMS NMS PREP NFP PREP DET NMP ADJ PREP PROPN DETFS NFS ADJFS AUX VPPFS PREP VERB CHIF NFP NMS PREP VERB	plus anecdotique cent cinquante mille préservatifs seront mis à la disposition des participants dans le village des athlètes seule inconnue le nombre de médailles pour les athlètes français à pékin la délégation tricolore était parvenue à glâner quarante médailles record à battre	plus anecdotique cent cinquante milles préservatifs seront mis à la disposition des participants dans le village des athlètes cela connu le nombre de médailles pour les athlètes français à pékin la délégation tricolore était parvenu à glaner quarante médailles record à battre	_
1581	PROPN XFAMIL XFAMIL	pascal boniface bonsoir	pascal boniface bonsoir	_
1582	INTJ	bonsoir		_
1583	NMS PREP DET NMS DET NFP ADJFP COCO ADJFS PREP PROPN XFAMIL PREP PDEMMS NMS ADJMS NMS ADJMS PREP DET NFP PROPN XFAMIL XFAMIL ADV PDEMMS AUX ADJMS ADV COSUB PDEMMS AUX DET NFS DET NMP ADJMP COCO COCO VPPMS DINTMS DINTMS NMS PREP PREP DET NFS ADJFS	directeur de l' institut des relations internationales et stratégique l' iris auteur de ce livre passionnant jo politique aux aux éditions jean claude gawsewitch pourquoi c' est passionnant parce que c' est l' histoire des jeux olympiques mais mais vu du du côté de de l' histoire politique	directeur de l' institut des relations internationales et stratégiques <eps> iris auteur de ce livre passionnant géopolitique <eps> aux <eps> éditions jean-claude kostovic <eps> pourquoi c' est passionnant parce que c' est l' histoire des jeux olympiques mais mais vu du <eps> côté de de l' histoire politique	_
1584	ADV PINDMS PINDMS VERB PREP NMS PROPN ADV VPPMS NMS AUX ADJMS COCO ADV PROPN	alors on on a en souvenir pékin bien entendu c' était politique mais alors londres	alors on on <eps> en souvenir pékin bien entendu c' était politique mais alors londres	_
1585	ADV PROPN XFAMIL AUX DETFS NFS ADV COSUB PPER3MS PPOBJMS VERB ADV DET NMS	(n) londres c' est la continuation bien sûr il y a moins l' enjeu	ben allons c' est la continuation bien sûr il y a moins l' enjeu	_
1586	PREP DETFS PROPN PREL VERB COCO PREL PPER3MS VERB PREP DETFS NFS ADJFS COCO PREP DET NMP PROPN AUX DINTMS NMS ADJMS PREP VERB COSUB PROPN AUX DINTFS NFS VPPFS PREP DETMS NMS PREL PPER3FS AUX ADJFS DET NMP AUX ADV VPPMP PREP DET NMS ADV PPER3MS PPOBJMS VERB	de la chine qui émerge et qui s' affirme sur la scène mondiale mais pour les britanniques c' est un enjeu essentiel de montrer que londres est une capitale ouverte sur le monde qu' elle est attractive les britanniques sont plutôt déprimés pour l' instant donc il y a	<eps> la chine qui émerge <eps> qui s' affirme sur la scène mondiale mais pour les britanniques c' est un enjeu essentiel de montrer que londres est une capitale ouverte sur le monde quelle <eps> est attractive les britanniques sont plutôt déprimé pour l' instant donc il y a	_
1587	PREP DETFS NFS VERB COSUB PPER3MP VERB VERB PREP VERB DET NMP COCO ADV VERB PREP VERB DET NFP ADV COSUB PPER3MS PPOBJMS VERB	à la fois montrer qu' ils peuvent réussir à organiser les jeux mais également réussir à remporter des médailles parce que il y a	<eps> la fois montrer qu' ils peuvent réussir à organiser les jeux mais également réussir à remporter des médailles parce qu' il y a	_
1588	<eps> <eps> DET NFP PREP CHIF CHIF CHIF PPER3MP AUX VPPMS DINTMS NMS ADJMS PPER3MP VERB PREP CHIF ADJMS NMS ADJMS	<eps> <eps> quelques olympiades en quatre vingt seize ils avaient eu un bilan catastrophique ils arrivent au trente huitième rang mondial	deux des quelques olympiade en quatre-vingt <eps> seize a <eps> eu un bilan catastrophique ils arrivent au trente huitième rang mondial	_
1589	PREP PPER3MP VERB DINTFS NFS ADJFS PPER3MS VERB COSUB ADV ADV COSUB DET PROPN PREL AUX VPPMS DETFS NFS DET NMP AUX ADV VPPFS COCO ADV PPER3MP AUX VPPMS ADJMS PREP PROPN COCO PPER3MP VERB VERB PREP ADV ADV ADV PREP PROPN	depuis ils ont une politique volontariste il faut quand même pas que l' angleterre qui a inventé la plupart des sports soit mal classée et donc ils ont terminé quatrième à pékin et ils veulent faire au moins aussi bien à londres	puis on peut y <eps> volontariste il faut quand même pas que l' angleterre qui a inventé la plupart des sports de revanche classé et donc ils ont terminé quatrième à pékin et ils veulent faire au moins aussi bien à londres	_
1590	PDEMMS NMS ADV VPPMS PDEMMS AUX PREP PDEMMS COSUB PDEMMS VERB DET NMP PREP VERB DET DET NMP PREP NMP COCO PREP NMP ADJMP DET CHIF NMP ADV PINDMS VERB PINDMS VERB PREP <eps> CHIF COCO CHIF NMP PREP NMP DETFS NFS AUX VPPMS ADV PREP PROPN PREP PROPN	cet événement hyper médiatisé c' est pour ça que ça pousse les pays à dépenser des des milliards d' euros ou de dollars tous les quatre ans là on par(le) on parle de <eps> quatorze ou quinze milliards d' euros la facture avait explosé également à pékin à athènes	<eps> événement hyper médiatisé c' est pour ça que ça pousse ces pays a dépensé des <eps> milliards d' euros <eps> de dollars tous les quatre ans elle en parle on parle de de quatorze ou quinze milliards d' euros la facture avait explosé également à pékin à athènes	_
1591	INTJ ADV PREP PROPN DET NMS ADV VERB ADV ADV PRON PREL VERB VERB PDEMMS AUX COSUB PPER3MP AUX PREP NMS DINTMS NMS COCO COSUB PPER3MP VERB <eps> <eps> ADV PREP DETFS NFS PREP DET NMP DETMS NMS AUX VPPMS ADV ADV ADV COSUB PPER3MP PREFS AUX ADV VPPMS PREP VERB	oui alors pour pékin l' argent ne comptait pas vraiment ce qui voulaient montrer c' est qu' ils étaient au centre du monde et qu' ils participaient <eps> <eps> bien à la mondialisation pour les britanniques le budget a augmenté tout simplement parce qu' ils l' ont sous évalué pour gagner	oui alors pour pékin l' argent ne comptait pas vraiment ce qui voulait montrer c' est qu' ils étaient au centre du monde et qui est parti c' est bien à la mondialisation pour les britanniques le budget a augmenté <eps> <eps> parce qu' ils <eps> ont sous-évalué <eps> pour gagner	_
1592	PREP PREFP PREP CHIF CHIF CHIF COCO ADV PPER3MP AUX VPPMS PREP VERB DETFS NFS PRON PREL VERB COSUB ADV DINTFS ADJFS NFS ADJMP DET NMP <eps> AUX AUX ADV VPPMP COSUB ADV DETMS NMS AUX VPPMS PREP DETMS PROPN <eps> DETFS DETMS NMS PREP NFS	contre nous en deux mille cinq et donc ils avaient oublié de compter la tva ce qui fait quand même une petite différence tous les devis <eps> avaient été tellement resserrés que effectivement le prix a triplé depuis le cand() <eps> la le dossier de candidature	<eps> nous en deux milles cinq et donc ils avaient oublié le comté la tva ce qui fait pas <eps> une petite différence tous les deux vies avaient été tellement resserré qu' effectivement le prix a triplé depuis le camp de la le dossier de candidature	_
1593	ADV DETMS NMS ADJMS ADJMS AUX PPER3MS DINTMS NMS ADJMS PREFP VERB DETFS NFS PROPN PREFP VERB PREP ADV COSUB PROPN PREP PROPN AUX PREP DET NFS PREP PDEMMS NMS COCO PPER3MS VERB ADV ADV DET ADJMP DET ADJMP NMP PREP NFS	alors le comité international olympique est il un gouvernement mondial vous posez la question pascal vous rappelez d' ailleurs que pierre de coubertin est à l' origine de ce comité mais il avait pas forcément les les les mêmes objectifs en tête	<eps> le comité international olympique est-il <eps> un gouvernement mondial vous poser la question pascal vous rappeler d' ailleurs que pierre de coubertin était à l' origine de ce comité mais il avait pas forcément les les les mêmes objectifs en tête	_
1594	ADV PPER3MS PPOBJMS VERB CHIF PREL AUX ADV ADJMP DETMS ADJMS NMS VERB PREP VERB PREP DETFS NFS DET NFP ADJFP PREP	non il en avait deux qui sont parfaitement contradictoires le premier c' est de participer à la pacification des relations internationales en	non il en avait deux qui sont parfaitement contradictoires le premier c' est de participer à la pacification des relations internationales en	_
1595	VERB DET NMP PREP NMP PREP NFP	multipliant les échanges entre sportifs entre nations	multipliant les échanges entre sportifs entre nations	_
1596	DETMS ADJMS PREL AUX ADV ADJMS PREL AUX <eps> ADV ADJMS ADJMS AUX PREP VERB DINTFS NFS <eps> PPER3MS AUX VPPMS PREP DETFS NFS PREP CHIF CHIF CHIF NMP COCO CHIF	le deuxième qui était moins avouable qui était <eps> aussi politique c' était d' obtenir une revanche <eps> il était catastrophé par la défaite de mille neuf cent soixante et onze	<eps> deuxième qui était moins avouables qui était le aussi politiques c' était d' obtenir une revanche s' il était catastrophe par la défaite de mille <eps> <eps> soixante et onze	_
1597	COSUB PPER3MS AUX VPPFS PREP ADV PREP DETFS NFS PREP DETFS NFS ADJFS DET NMP ADJ COCO ADV PREP DETMS NMS PINDMS VERB VERB PREP NFS ADJFS DET NMP PREP COSUB PPER3MP VERB VERB DET NFS PREP DETMS NMS ADJMS PREP DET PROPN	qu' il avait évaluée à au de la déficience de la formation physique des jeunes français et donc par le sport on voulait former de façon athlétique les français pour qu' ils puissent prendre leur revanche sur le plan militaire sur l' allemagne	<eps> il avait évalué à au au delà déficiences de la formation physique des jeunes français et donc par le sport on voulait former de façon athlétique les français pour qu' ils puissent prendre leur revanche sur le plan militaire sur l' allemagne	_
1598	ADV PREP DET NMS ADJMS AUX PREP DETFS NFS DINTFS NFS ADJFS COCO PREP ADJMS NMS	alors l' l' olympisme c' est à la fois une valeur universelle et en même temps	<eps> l' <eps> olympisme c' est à la fois une valeur universelle et en même temps	_
